"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","num_dia","tasa"
"287","07/04/2020",7,4,2020,74,7,"Argentina","AR","ARG",44494502,32,NA
"288","06/04/2020",6,4,2020,103,3,"Argentina","AR","ARG",44494502,31,1
"289","05/04/2020",5,4,2020,186,6,"Argentina","AR","ARG",44494502,30,6
"290","04/04/2020",4,4,2020,132,3,"Argentina","AR","ARG",44494502,29,0.166666666666667
"291","03/04/2020",3,4,2020,0,3,"Argentina","AR","ARG",44494502,28,3
"292","02/04/2020",2,4,2020,167,7,"Argentina","AR","ARG",44494502,27,2.33333333333333
"293","01/04/2020",1,4,2020,0,0,"Argentina","AR","ARG",44494502,26,1.71428571428571
"294","31/03/2020",31,3,2020,146,4,"Argentina","AR","ARG",44494502,25,0.25
"295","30/03/2020",30,3,2020,75,1,"Argentina","AR","ARG",44494502,24,3.66666666666667
"296","29/03/2020",29,3,2020,55,2,"Argentina","AR","ARG",44494502,23,1
"297","28/03/2020",28,3,2020,101,5,"Argentina","AR","ARG",44494502,22,0.818181818181818
"298","27/03/2020",27,3,2020,87,4,"Argentina","AR","ARG",44494502,21,1.55555555555556
"299","26/03/2020",26,3,2020,115,2,"Argentina","AR","ARG",44494502,20,1.28571428571429
"300","25/03/2020",25,3,2020,86,2,"Argentina","AR","ARG",44494502,19,1.72222222222222
"301","24/03/2020",24,3,2020,35,0,"Argentina","AR","ARG",44494502,18,0.967741935483871
"302","23/03/2020",23,3,2020,41,0,"Argentina","AR","ARG",44494502,17,2.23333333333333
"303","22/03/2020",22,3,2020,67,1,"Argentina","AR","ARG",44494502,16,0.611940298507463
"304","21/03/2020",21,3,2020,30,0,"Argentina","AR","ARG",44494502,15,0.853658536585366
"305","20/03/2020",20,3,2020,31,1,"Argentina","AR","ARG",44494502,14,2.45714285714286
"306","19/03/2020",19,3,2020,18,0,"Argentina","AR","ARG",44494502,13,1.33720930232558
"307","18/03/2020",18,3,2020,14,0,"Argentina","AR","ARG",44494502,12,0.756521739130435
"308","17/03/2020",17,3,2020,9,0,"Argentina","AR","ARG",44494502,11,1.16091954022989
"309","16/03/2020",16,3,2020,11,0,"Argentina","AR","ARG",44494502,10,0.544554455445545
"310","15/03/2020",15,3,2020,11,0,"Argentina","AR","ARG",44494502,9,1.36363636363636
"311","14/03/2020",14,3,2020,3,1,"Argentina","AR","ARG",44494502,8,1.94666666666667
"312","13/03/2020",13,3,2020,12,0,"Argentina","AR","ARG",44494502,7,0
"313","11/03/2020",11,3,2020,7,0,"Argentina","AR","ARG",44494502,6,NA
"314","09/03/2020",9,3,2020,3,0,"Argentina","AR","ARG",44494502,5,0
"315","08/03/2020",8,3,2020,1,1,"Argentina","AR","ARG",44494502,4,NA
"316","07/03/2020",7,3,2020,6,0,"Argentina","AR","ARG",44494502,3,1.40909090909091
"317","06/03/2020",6,3,2020,1,0,"Argentina","AR","ARG",44494502,2,0.553763440860215
"318","04/03/2020",4,3,2020,1,0,"Argentina","AR","ARG",44494502,1,0.718446601941748
